TE,TI,TR,RESISTOR,VENTOINHA,DATA,HORA,PID
24.240000,53.431641,39.000000,0,100,22/3/2021,10:42:12,-100
24.250000,52.497070,39.000000,0,100,22/3/2021,10:42:14,-100
24.260000,51.755859,39.000000,0,100,22/3/2021,10:42:16,-100
24.270000,51.272461,39.000000,0,100,22/3/2021,10:42:18,-100
24.270000,50.917969,39.000000,0,100,22/3/2021,10:42:20,-100
24.280001,49.500000,39.000000,0,100,22/3/2021,10:42:22,-100
24.270000,49.209961,39.000000,0,100,22/3/2021,10:42:24,-100
24.270000,49.016602,39.000000,0,100,22/3/2021,10:42:26,-100
24.280001,48.823242,39.000000,0,100,22/3/2021,10:42:28,-100
24.280001,49.435547,39.000000,0,100,22/3/2021,10:42:30,-100
24.270000,50.627930,39.000000,0,100,22/3/2021,10:42:32,-100
24.280001,50.047852,39.000000,0,100,22/3/2021,10:42:34,-100
24.270000,50.015625,39.000000,0,100,22/3/2021,10:42:36,-100
24.250000,49.113281,39.000000,0,100,22/3/2021,10:42:38,-100
24.240000,47.663086,39.000000,0,100,22/3/2021,10:42:40,-100
24.230000,47.373047,39.000000,0,100,22/3/2021,10:42:42,-100
24.240000,46.599609,39.000000,0,100,22/3/2021,10:42:44,-100
24.209999,46.180664,39.000000,0,100,22/3/2021,10:42:46,-100
24.200001,46.116211,39.000000,0,100,22/3/2021,10:42:48,-100
24.190001,46.696289,39.000000,0,100,22/3/2021,10:42:50,-100
24.180000,46.180664,39.000000,0,100,22/3/2021,10:42:52,-100
24.170000,46.567383,39.000000,0,100,22/3/2021,10:42:54,-100
24.150000,46.502930,39.000000,0,100,22/3/2021,10:42:56,-100
24.139999,46.535156,39.000000,0,100,22/3/2021,10:42:58,-100
24.150000,46.535156,39.000000,0,100,22/3/2021,10:43:00,-100
24.150000,45.278320,39.000000,0,100,22/3/2021,10:43:02,-100
24.150000,43.731445,39.000000,0,100,22/3/2021,10:43:04,-100
24.160000,43.828125,39.000000,0,100,22/3/2021,10:43:06,-100
24.170000,43.344727,39.000000,0,100,22/3/2021,10:43:08,-100
24.170000,43.924805,39.000000,0,100,22/3/2021,10:43:10,-100
24.180000,44.247070,39.000000,0,100,22/3/2021,10:43:12,-100
24.190001,44.956055,39.000000,0,100,22/3/2021,10:43:14,-100
24.200001,44.247070,39.000000,0,100,22/3/2021,10:43:16,-100
24.209999,44.247070,39.000000,0,100,22/3/2021,10:43:18,-100
24.219999,43.215820,39.000000,0,100,22/3/2021,10:43:20,-100
24.219999,43.602539,39.000000,0,100,22/3/2021,10:43:22,-100
24.230000,42.893555,39.000000,0,100,22/3/2021,10:43:24,-100
24.230000,43.054688,39.000000,0,100,22/3/2021,10:43:26,-100
24.240000,41.475586,39.000000,0,100,22/3/2021,10:43:28,-100
24.240000,41.346680,39.000000,0,100,22/3/2021,10:43:30,-100
24.260000,40.089844,39.000000,0,100,22/3/2021,10:43:32,-100
24.240000,41.121094,39.000000,0,100,22/3/2021,10:43:34,-100
24.250000,41.056641,39.000000,0,100,22/3/2021,10:43:36,-100
24.250000,42.249023,39.000000,0,100,22/3/2021,10:43:38,-100
24.260000,41.958984,39.000000,0,100,22/3/2021,10:43:40,-100
24.260000,43.344727,39.000000,0,100,22/3/2021,10:43:42,-100
24.260000,43.344727,39.000000,0,100,22/3/2021,10:43:44,-100
24.260000,43.505859,39.000000,0,100,22/3/2021,10:43:46,-100
24.270000,43.441406,39.000000,0,100,22/3/2021,10:43:48,-100
24.280001,43.409180,39.000000,0,100,22/3/2021,10:43:50,-100
24.280001,42.958008,39.000000,0,100,22/3/2021,10:43:52,-100
24.290001,42.216797,39.000000,0,100,22/3/2021,10:43:54,-100
24.290001,41.604492,39.000000,0,100,22/3/2021,10:43:56,-100
24.299999,41.217773,39.000000,0,100,22/3/2021,10:43:58,-100
24.270000,40.992188,39.000000,0,100,22/3/2021,10:44:00,-100
24.250000,40.057617,39.000000,0,100,22/3/2021,10:44:02,-100
24.270000,40.283203,39.000000,0,100,22/3/2021,10:44:04,-100
24.280001,40.186523,39.000000,0,100,22/3/2021,10:44:06,-100
24.270000,40.186523,39.000000,0,100,22/3/2021,10:44:08,-100
24.290001,39.735352,39.000000,0,100,22/3/2021,10:44:10,-100
24.280001,39.316406,39.000000,0,100,22/3/2021,10:44:12,-100
24.290001,39.477539,39.000000,0,100,22/3/2021,10:44:14,-100
24.290001,38.059570,39.000000,0,93,22/3/2021,10:44:16,-93
24.299999,37.801758,39.000000,0,89,22/3/2021,10:44:18,-89
24.299999,38.381836,39.000000,0,91,22/3/2021,10:44:20,-91
24.290001,38.897461,39.000000,0,93,22/3/2021,10:44:22,-93
24.299999,38.768555,39.000000,0,92,22/3/2021,10:44:24,-92
24.309999,40.089844,39.000000,0,100,22/3/2021,10:44:26,-100
24.309999,39.767578,39.000000,0,100,22/3/2021,10:44:28,-100
24.330000,39.670898,39.000000,0,100,22/3/2021,10:44:30,-100
24.320000,38.027344,39.000000,0,92,22/3/2021,10:44:32,-92
24.330000,38.639648,39.000000,0,94,22/3/2021,10:44:34,-94
24.330000,38.220703,39.000000,0,90,22/3/2021,10:44:36,-90
24.320000,38.478516,39.000000,0,91,22/3/2021,10:44:38,-91
24.320000,39.251953,39.000000,0,95,22/3/2021,10:44:40,-95
24.330000,40.089844,39.000000,0,100,22/3/2021,10:44:42,-100
24.330000,38.768555,39.000000,0,89,22/3/2021,10:44:44,-89
24.340000,38.252930,39.000000,0,89,22/3/2021,10:44:46,-89
24.330000,37.447266,39.000000,0,82,22/3/2021,10:44:48,-82
24.340000,35.481445,39.000000,0,61,22/3/2021,10:44:50,-61
24.340000,35.545898,39.000000,0,64,22/3/2021,10:44:52,-64
24.330000,36.319336,39.000000,0,66,22/3/2021,10:44:54,-66
24.340000,36.931641,39.000000,0,63,22/3/2021,10:44:56,-63
24.350000,37.318359,39.000000,0,60,22/3/2021,10:44:58,-60
24.340000,38.349609,39.000000,0,66,22/3/2021,10:45:00,-66
24.360001,38.317383,39.000000,0,59,22/3/2021,10:45:02,-59
24.350000,37.995117,39.000000,0,55,22/3/2021,10:45:04,-55
24.360001,37.898438,39.000000,0,53,22/3/2021,10:45:06,-53
24.350000,38.156250,39.000000,0,54,22/3/2021,10:45:08,-54
24.360001,38.059570,39.000000,0,50,22/3/2021,10:45:10,-50
24.360001,38.188477,39.000000,0,50,22/3/2021,10:45:12,-50
24.360001,38.124023,39.000000,0,47,22/3/2021,10:45:14,-47
24.370001,38.124023,39.000000,0,46,22/3/2021,10:45:16,-46
