TE,TI,TR,PID,DATA,HORA
24.870001,43.086914,45.000000,100,20/3/2021, 21:22:28
24.870001,43.957031,45.000000,100,20/3/2021, 21:22:29
24.870001,43.957031,45.000000,100,20/3/2021, 21:22:30
24.889999,43.957031,45.000000,100,20/3/2021, 21:22:31
24.879999,43.957031,45.000000,100,20/3/2021, 21:22:32
24.879999,43.441406,45.000000,100,20/3/2021, 21:22:33
24.879999,43.441406,45.000000,100,20/3/2021, 21:22:34
24.870001,43.763672,45.000000,100,20/3/2021, 21:22:35
24.870001,43.763672,45.000000,100,20/3/2021, 21:22:36
24.870001,44.537109,45.000000,98,20/3/2021, 21:22:37
24.870001,44.537109,45.000000,100,20/3/2021, 21:22:38
24.860001,44.472656,45.000000,100,20/3/2021, 21:22:39
24.870001,44.472656,45.000000,100,20/3/2021, 21:22:40
24.879999,44.794922,45.000000,99,20/3/2021, 21:22:41
24.860001,44.794922,45.000000,100,20/3/2021, 21:22:42
24.830000,44.923828,45.000000,99,20/3/2021, 21:22:43
24.809999,44.923828,45.000000,100,20/3/2021, 21:22:44
24.809999,44.794922,45.000000,100,20/3/2021, 21:22:45
24.820000,44.794922,45.000000,100,20/3/2021, 21:22:46
24.809999,44.859375,45.000000,100,20/3/2021, 21:22:47
24.770000,44.859375,45.000000,100,20/3/2021, 21:22:48
24.770000,45.439453,45.000000,94,20/3/2021, 21:22:49
24.760000,45.439453,45.000000,96,20/3/2021, 21:22:50
24.760000,44.601562,45.000000,100,20/3/2021, 21:22:51
24.750000,44.601562,45.000000,100,20/3/2021, 21:22:52
24.750000,45.246094,45.000000,95,20/3/2021, 21:22:53
24.750000,45.246094,45.000000,98,20/3/2021, 21:22:54
24.770000,45.052734,45.000000,100,20/3/2021, 21:22:55
24.770000,45.052734,45.000000,99,20/3/2021, 21:22:56
24.760000,44.537109,45.000000,100,20/3/2021, 21:22:57
24.750000,44.537109,45.000000,100,20/3/2021, 21:22:58
24.770000,44.537109,45.000000,100,20/3/2021, 21:22:59
24.780001,44.730469,45.000000,100,20/3/2021, 21:23:00
24.770000,44.730469,45.000000,100,20/3/2021, 21:23:01
24.780001,45.826172,45.000000,89,20/3/2021, 21:23:02
24.770000,45.826172,45.000000,94,20/3/2021, 21:23:03
24.780001,46.180664,45.000000,89,20/3/2021, 21:23:04
24.780001,46.180664,45.000000,90,20/3/2021, 21:23:05
24.780001,47.115234,45.000000,78,20/3/2021, 21:23:06
24.780001,47.115234,45.000000,81,20/3/2021, 21:23:07
24.790001,48.210938,45.000000,67,20/3/2021, 21:23:08
24.790001,48.210938,45.000000,69,20/3/2021, 21:23:09
24.799999,48.146484,45.000000,66,20/3/2021, 21:23:10
24.799999,48.146484,45.000000,63,20/3/2021, 21:23:11
24.790001,48.468750,45.000000,56,20/3/2021, 21:23:12
24.780001,48.468750,45.000000,54,20/3/2021, 21:23:13
24.790001,47.663086,45.000000,60,20/3/2021, 21:23:14
24.790001,47.663086,45.000000,53,20/3/2021, 21:23:15
24.790001,47.534180,45.000000,52,20/3/2021, 21:23:16
24.790001,47.534180,45.000000,49,20/3/2021, 21:23:17
24.790001,47.115234,45.000000,51,20/3/2021, 21:23:18
